lat,lon
-90.0,0.0
-90.0,1.25
-90.0,2.51
-90.0,3.76
-90.0,5.02
-90.0,6.27
-90.0,7.53
-90.0,8.78
-90.0,10.03
-90.0,11.29
-90.0,12.54
-90.0,13.8
-90.0,15.05
-90.0,16.31
-90.0,17.56
-90.0,18.82
-90.0,20.07
-90.0,21.32
-90.0,22.58
-90.0,23.83
-90.0,25.09
-90.0,26.34
-90.0,27.6
-90.0,28.85
-90.0,30.1
-90.0,31.36
-90.0,32.61
-90.0,33.87
-90.0,35.12
-90.0,36.38
-90.0,37.63
-90.0,38.89
-90.0,40.14
-90.0,41.39
-90.0,42.65
-90.0,43.9
-90.0,45.16
-90.0,46.41
-90.0,47.67
-90.0,48.92
-90.0,50.17
-90.0,51.43
-90.0,52.68
-90.0,53.94
-90.0,55.19
-90.0,56.45
-90.0,57.7
-90.0,58.95
-90.0,60.21
-90.0,61.46
-90.0,62.72
-90.0,63.97
-90.0,65.23
-90.0,66.48
-90.0,67.74
-90.0,68.99
-90.0,70.24
-90.0,71.5
-90.0,72.75
-90.0,74.01
-90.0,75.26
-90.0,76.52
-90.0,77.77
-90.0,79.02
-90.0,80.28
-90.0,81.53
-90.0,82.79
-90.0,84.04
-90.0,85.3
-90.0,86.55
-90.0,87.8
-90.0,89.06
-90.0,90.31
-90.0,91.57
-90.0,92.82
-90.0,94.08
-90.0,95.33
-90.0,96.59
-90.0,97.84
-90.0,99.09
-90.0,100.35
-90.0,101.6
-90.0,102.86
-90.0,104.11
-90.0,105.37
-90.0,106.62
-90.0,107.87
-90.0,109.13
-90.0,110.38
-90.0,111.64
-90.0,112.89
-90.0,114.15
-90.0,115.4
-90.0,116.66
-90.0,117.91
-90.0,119.16
-90.0,120.42
-90.0,121.67
-90.0,122.93
-90.0,124.18
-90.0,125.44
-90.0,126.69
-90.0,127.94
-90.0,129.2
-90.0,130.45
-90.0,131.71
-90.0,132.96
-90.0,134.22
-90.0,135.47
-90.0,136.72
-90.0,137.98
-90.0,139.23
-90.0,140.49
-90.0,141.74
-90.0,143.0
-90.0,144.25
-90.0,145.51
-90.0,146.76
-90.0,148.01
-90.0,149.27
-90.0,150.52
-90.0,151.78
-90.0,153.03
-90.0,154.29
-90.0,155.54
-90.0,156.79
-90.0,158.05
-90.0,159.3
-90.0,160.56
-90.0,161.81
-90.0,163.07
-90.0,164.32
-90.0,165.57
-90.0,166.83
-90.0,168.08
-90.0,169.34
-90.0,170.59
-90.0,171.85
-90.0,173.1
-90.0,174.36
-90.0,175.61
-90.0,176.86
-90.0,178.12
-90.0,179.37
-90.0,180.63
-90.0,181.88
-90.0,183.14
-90.0,184.39
-90.0,185.64
-90.0,186.9
-90.0,188.15
-90.0,189.41
-90.0,190.66
-90.0,191.92
-90.0,193.17
-90.0,194.43
-90.0,195.68
-90.0,196.93
-90.0,198.19
-90.0,199.44
-90.0,200.7
-90.0,201.95
-90.0,203.21
-90.0,204.46
-90.0,205.71
-90.0,206.97
-90.0,208.22
-90.0,209.48
-90.0,210.73
-90.0,211.99
-90.0,213.24
-90.0,214.49
-90.0,215.75
-90.0,217.0
-90.0,218.26
-90.0,219.51
-90.0,220.77
-90.0,222.02
-90.0,223.28
-90.0,224.53
-90.0,225.78
-90.0,227.04
-90.0,228.29
-90.0,229.55
-90.0,230.8
-90.0,232.06
-90.0,233.31
-90.0,234.56
-90.0,235.82
-90.0,237.07
-90.0,238.33
-90.0,239.58
-90.0,240.84
-90.0,242.09
-90.0,243.34
-90.0,244.6
-90.0,245.85
-90.0,247.11
-90.0,248.36
-90.0,249.62
-90.0,250.87
-90.0,252.13
-90.0,253.38
-90.0,254.63
-90.0,255.89
-90.0,257.14
-90.0,258.4
-90.0,259.65
-90.0,260.91
-90.0,262.16
-90.0,263.41
-90.0,264.67
-90.0,265.92
-90.0,267.18
-90.0,268.43
-90.0,269.69
-90.0,270.94
-90.0,272.2
-90.0,273.45
-90.0,274.7
-90.0,275.96
-90.0,277.21
-90.0,278.47
-90.0,279.72
-90.0,280.98
-90.0,282.23
-90.0,283.48
-90.0,284.74
-90.0,285.99
-90.0,287.25
-90.0,288.5
-90.0,289.76
-90.0,291.01
-90.0,292.26
-90.0,293.52
-90.0,294.77
-90.0,296.03
-90.0,297.28
-90.0,298.54
-90.0,299.79
-90.0,301.05
-90.0,302.3
-90.0,303.55
-90.0,304.81
-90.0,306.06
-90.0,307.32
-90.0,308.57
-90.0,309.83
-90.0,311.08
-90.0,312.33
-90.0,313.59
-90.0,314.84
-90.0,316.1
-90.0,317.35
-90.0,318.61
-90.0,319.86
-90.0,321.11
-90.0,322.37
-90.0,323.62
-90.0,324.88
-90.0,326.13
-90.0,327.39
-90.0,328.64
-90.0,329.9
-90.0,331.15
